" - Edit"," - Edit"
"",""
".mpv, mp4",".mpv, mp4"
"Action","Action"
"Add Slide","Add Slide"
"Add Slider","Add Slider"
"An error occurred while updating the sliders.","An error occurred while updating the sliders."
"An error occurred while updating the slides.","An error occurred while updating the slides."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Center Mode","Center Mode"
"Change Center Mode","Change Center Mode"
"Change Infinite","Change Infinite"
"Change RTL","Change RTL"
"Change Show Arrows","Change Show Arrows"
"Change Show Dots","Change Show Dots"
"Change Slider","Change Slider"
"Change status","Change status"
"Content","Content"
"Could not find slide to delete.","Could not find slide to delete."
"Could not find slider to delete.","Could not find slider to delete."
"Created at","Created at"
"Delete File","Delete File"
"Delete Slide","Delete Slide"
"Delete Slider","Delete Slider"
"Delete","Delete"
"Disabled","Disabled"
"Edit Slide '%s'","Edit Slide '%s'"
"Edit Slider '%s'","Edit Slider '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving slide","Error saving slide"
"Error saving slider","Error saving slider"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Image","Image"
"Infinite","Infinite"
"Link","Link"
"Name","Name"
"No","No"
"None","None"
"Please select sliders to delete.","Please select sliders to delete."
"Please select sliders.","Please select sliders."
"Please select slides to delete.","Please select slides to delete."
"Please select slides.","Please select slides."
"Position","Position"
"RTL","RTL"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Slide","Save Slide"
"Save Slider","Save Slider"
"Show Arrows","Show Arrows"
"Show Dots","Show Dots"
"Slide was saved","Slide was saved"
"Slide was successfully deleted.","Slide was successfully deleted."
"Slide was successfully saved","Slide was successfully saved"
"Slide","Slide"
"Slider was saved","Slider was saved"
"Slider was successfully deleted.","Slider was successfully deleted."
"Slider was successfully saved","Slider was successfully saved"
"Slider","Slider"
"Sliders","Sliders"
"Slides To Scroll","Slides To Scroll"
"Slides To Show","Slides To Show"
"Slides","Slides"
"Slug","Slug"
"Speed","Speed"
"Status","Status"
"Store views","Store views"
"Style Class","Style Class"
"The sliders has been deleted.","The sliders has been deleted."
"The slides has been deleted.","The slides has been deleted."
"There was a problem saving the slide.","There was a problem saving the slide."
"There was a problem saving the slider.","There was a problem saving the slider."
"There was an error deleting slide.","There was an error deleting slide."
"There was an error deleting slider.","There was an error deleting slider."
"There was an error deleting sliders.","There was an error deleting sliders."
"There was an error deleting slides.","There was an error deleting slides."
"There was an error updating sliders.","There was an error updating sliders."
"There was an error updating slides.","There was an error updating slides."
"This slide no longer exists.","This slide no longer exists."
"This slider no longer exists.","This slider no longer exists."
"This will be used to fetch slider","This will be used to fetch slider"
"Title","Title"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d sliders were successfully deleted.","Total of %d sliders were successfully deleted."
"Total of %d sliders were successfully updated.","Total of %d sliders were successfully updated."
"Total of %d slides were successfully deleted.","Total of %d slides were successfully deleted."
"Total of %d slides were successfully updated.","Total of %d slides were successfully updated."
"Unable to find slide to save.","Unable to find slide to save."
"Unable to find slider to save.","Unable to find slider to save."
"Updated at","Updated at"
"Video Poster","Video Poster"
"Video","Video"
"View {#name}","View {#name}"
"WYSIWYG Editor","WYSIWYG Editor"
"Whether to show navigation or not.","Whether to show navigation or not."
"XML","XML"
"Yes","Yes"